Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
r  = r_0 + v_0 t + \tfrac12 {a}t^2 \quad [2]\\,position (N/A),Position-time Equation,Displacement Equation,Kinematic Equation,Motion Equation,Trajectory Equation,Acceleration-Time Relationship,Rectilinear Motion Equation,Position-Velocity-Time Relation,Linear Kinematics Equation,Uniformly Accelerated Motion Equation
r  = r_0 + \tfrac12 \left( v+v_0 \right )t \quad [3]\\v^2  = v_0^2 + 2a\left( r - r_0 \right) \quad [4]\\r  = r_0 + vt - \tfrac12 {a}t^2 \quad [5]\\,equations of motion (N/A),Quadratic Formula,Kinematic Equation,Galilean Transformation,Hooke's Law,Newton's Second Law,Range Equation,Velocity-Time Relation,Distance-Time Relation,Uniform Acceleration Equation,Relativistic Energy-Momentum Equations
"\mathbf{v}  = \int \mathbf{a} dt = \mathbf{a}t+\mathbf{v}_0 \,, \quad [1] \\ \mathbf{r}  = \int (\mathbf{a}t+\mathbf{v}_0) dt = \frac{\mathbf{a}t^2}{2}+\mathbf{v}_0t +\mathbf{r}_0 \,, \quad [2] \\",equations of motion (N/A),Equation of Motion,Newton's Second Law,Kinematic Equations,Position-Time Relation,Velocity-Time Relation,Acceleration-Time Relation,Euler-Lagrange Equation,Hamilton's Principle,Lagrangian Mechanics,Coriolis Effect
"v  = at+v_0 \,, \quad [1] \\ r  = \frac{{a}t^2}{2}+v_0t +r_0 \,. \quad [2] \\",velocity (Q11465),Uniform Acceleration,Position-Time Equation,Range Equation,Kinematic Equations,Constant Acceleration,Velocity-Time Relationship,Trajectory Equation,Rectilinear Motion,Relative Motion Equation,Galilean Transformation
\mathbf{a} = \frac{(\mathbf{v} - \mathbf{v}_0)}{t},acceleration (Q11376),Velocity,Acceleration formula,Instantaneous velocity equation,Change in velocity formula,Average acceleration expression,Rate of change of velocity,Derivative of position over time,Time derivative of velocity,Tangential acceleration equation,Differential of velocity with respect to time
\mathbf{F} = m\mathbf{a},Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Mass-Acceleration Relationship,F = ma Formula,Inertia-Force Relation,Acceleration-Mass Law,"Momentum Equation (though not exactly the same, often related)",Dynamic Force Equation,Kinetic Energy Formula,Mass-Acceleration Principle
\mathbf{F} = \frac{d\mathbf{p}}{dt},Newton's second law of motion (Q2397319),Euler-Lagrange Equation,Newton-Euler Equation,Lagrangian Mechanics,Hamilton's Principle,Action-Angle Variables,Noether's Theorem,Hamilton-Jacobi Equation,Relativistic Momentum,Linear Momentum Tensor,Coordinate-Time Derivative
"\mathbf{r} =\mathbf{r}\left ( r(t),\theta(t) \right ) = r \mathbf{\hat{e}}_r",position (N/A),Position Vector Formula,Polar Coordinate Representation,Radius Vector Equation,Euler's Formula ( Radial Component ),Polar Coordinate Equation,Directional Vector Formula,Cylindrical Coordinate Representation,Spherical Coordinate Equation,Radial Distance Formula,Cartesian-Polar Conversion
\mathbf{v} = \mathbf{\hat{e}}_r \frac{d r}{dt} + r \omega \mathbf{\hat{e}}_\theta,velocity (Q11465),Angular Momentum Formula,Radial Velocity Vector Formula,Rotational Kinematics Formula,Orbital Motion Equation,Planetary Motion Formula,Polar Coordinate Transformation,Euler Angles Formulation,Spatial Velocity Decomposition,Rotating Frame of Reference Equation,Spherical Coordinate Conversion
\mathbf{a} =\left ( \frac{d^2 r}{dt^2} - r\omega^2\right )\mathbf{\hat{e}}_r + \left ( r \alpha + 2 \omega \frac{dr}{dt} \right )\mathbf{\hat{e}}_\theta,acceleration (Q11376),Euler Acceleration Equation,Frenet-Serret Formulas for Rotation,Centrifugal and Coriolis Forces Formula,Rotating Reference Frame Equation,Angular Momentum Conservation Law,Oscillation Motion Formula,Orbital Mechanics Equation,Relative Motion Dynamics Formula,Gyroscopic Effect Formula,Rotational Kinematics Equation
"\frac{d\mathbf{p}_i}{dt} = \mathbf{F}_{E} + \sum_{i \neq j} \mathbf{F}_{ij} \,\!",Newton's second law of motion (Q2397319),Newton's Third Law,Lorentz Force Equation,Electromagnetic Force Equation,Interparticle Force Equation,D'Alembert's Principle,Euler-Lagrange Equation,Hamilton's Principle,Action-Reaction Force,Electrostatic Force Equation,Coulomb's Law
"\boldsymbol{\tau} = \frac{d\mathbf{L}}{dt} \,,",Newton's second law of motion (Q2397319),Angular Momentum,Torque,Moment of Force,Rotational Momentum,Angular Velocity,Dynamical Torque,Latus Rotundus,Rotatory Inertia,Dynamic Moment,Gyroscopic Moment
"\frac{d\mathbf{L}_i}{dt} = \boldsymbol{\tau}_E + \sum_{i \neq j} \boldsymbol{\tau}_{ij} \,,",Newton's second law of motion (Q2397319),Angular Momentum Equation,Torque Equation,Rotational Dynamics Formula,Euler's Law of Rotation,Angular Momentum Conservation Law,Routh-Hurwitz Stability Criterion (Note: Not directly related but sometimes used in a similar context),Newton-Euler Equations,Moment of Inertia Formula,Kinetic Energy Equation for Rotational Motion,Lagrangian Mechanics Formula
\frac{d^2\mathbf{r}_i}{dt^2} = G\sum_{i\neq j}\frac{m_i m_j}{|\mathbf{r}_j - \mathbf{r}_i|^3} (\mathbf{r}_j - \mathbf{r}_i),Newton's second law of motion (Q2397319),Newton's Law of Universal Gravitation,Poisson Equation,Gravity Potential Equation,N-body Problem Formula,Gravitational Force Law,Keplar's Third Law (alternative notation),Riemann-Hilbert Problem,Einstein Field Equations (special case),Lagrange Points Formula,Harmonic Oscillator Formula
"\frac{d}{d t} \left ( \frac{\partial L}{\partial \mathbf{\dot{q}} } \right ) = \frac{\partial L}{\partial \mathbf{q}} \,,",Euler-Lagrange equation (N/A),Euler-Lagrange Equation,EL Equation,Lagrangian Derivative,Variational Principle,Hamilton's Principle,Classical Mechanics Equation,Action-Angle Equations,QM Lagrangian Dynamics,Generalized Momentum Equation,Hamilton's Action Equation
"- \frac{\partial S(\mathbf{q},t)}{\partial t} = H\left(\mathbf{q}, \mathbf{p}, t \right) \,.",Hamilton-Jacobi equation (N/A),Liouville Equation,Hamiltonian Dynamics,Vlasov Equation,Liouville-Von Neumann Equation,Quantum Liouville Equation,Time-Dependent Schrödinger Equation,Classical Liouville Equation,Ensemble Average Dynamics,Dynamical Entropy Equation,Microcanonical Temperature Equation
"\mathbf{F} = q\left(\mathbf{E} + \mathbf{v} \times \mathbf{B}\right) \,\!",Lorentz force (Q172137),Lorentz force law,Electromagnetic force equation,Electric field and velocity equation,Force on a charged particle formula,E-V-B equation,Maxwell's correction equation,Special relativistic force equation,Charged particle dynamics formula,Electric field and magnetic field interaction equation,Fokker-Lorentz equation
L=\tfrac12 m \mathbf{\dot{r}}\cdot\mathbf{\dot{r}}+q\mathbf{A}\cdot\dot{\mathbf{r}}-q\phi,Lagrangian (N/A),KineticEnergy,Lagrangian,EnergyFunctional,Hamiltonian,PotentialEnergy,MechanicalEnergy,ActionIntegral,DynamicAction,ClassicalHamiltonian,ReducedKineticEnergy
"H = \frac{\left(\mathbf{P} - q \mathbf{A}\right)^2}{2m} + q\phi \,\!",hamiltonian (N/A),Hamiltonian,Kinetic Energy,Potential Energy,Lagrangian,Quantum Hamiltonian,Total Energy,Coulomb Energy,Electrostatic Potential Energy,Classical Hamiltonian,Time-Dependent Hamiltonian
ds = \sqrt{g_{\alpha\beta} d x^\alpha dx^\beta},line (Q1228250),Metric Tensor,Christoffel Symbol,Minkowski Metric,Interval Element,Geodesic Distance,Riemann Metric,Line Element,Affine Connection,Levi-Civita Connection,Weitzenböck Connection
\sum \mathbf{F} = 0\; \Leftrightarrow\; \frac{\mathrm{d} \mathbf{v} }{\mathrm{d}t} = 0.,Newton's second law of motion (Q2397319),Newton's First Law,Inertial Frame Equations,Conservation of Momentum Equation,Euler-Lagrange Equations (special case),D'Alembert's Principle,Lagrangian Mechanics Equation,Hamiltonian Dynamics Equation,Eulers' Law of Motion,Cauchy-Euler Differential Equation,Newton-Euler Equations
\mathbf{F} = \frac{\mathrm{d}\mathbf{p}}{\mathrm{d}t} = \frac{\mathrm{d}(m\mathbf v)}{\mathrm{d}t}.,Newton' s second law of motion (Q2397319),Euler-Lagrange equation,Newton's second law of motion,Law of conservation of momentum,Momentum equation,Time derivative of momentum,Material derivative of momentum,Lagrangian equation,Momentum acceleration relation,Dynamic momentum equation,Momentum time variation
"\mathbf{J} = \int_{\Delta t} \mathbf F \,\mathrm{d}t~.",impulse (N/A),Impulse,Action Integral,Momentum Transfer,Force-Momentum Integral,Action Principle,"Euler-Lagrange Equation (although not identical, often used in similar contexts)",Hamilton's Action,Work-Energy Principle,Energy-Momentum Relation,Acceleration-Time Integral
